date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-21,7,5,0.0,6.8,1,1,18,05:29 AM,01:06 PM,08:22 AM,04:20 PM,4,1,6,1,54,54,87,0.1,1032,7,10,264,33
2020-01-22,6,1,0.0,8.0,1,1,11,06:39 AM,01:48 PM,08:21 AM,04:22 PM,1,1,5,1,38,27,75,0.1,1028,6,10,328,23
2020-01-23,6,0,0.0,6.8,1,1,3,07:39 AM,02:40 PM,08:19 AM,04:24 PM,3,1,5,1,36,54,87,0.4,1028,6,10,267,22
2020-01-24,7,6,0.0,3.0,1,1,0,08:24 AM,03:44 PM,08:18 AM,04:26 PM,5,2,6,2,41,89,89,1.3,1017,7,7,263,24
2020-01-25,6,5,0.0,8.1,1,1,0,08:58 AM,04:53 PM,08:16 AM,04:28 PM,4,2,6,2,32,52,88,0.0,1016,6,10,266,19
2020-01-26,4,0,0.0,4.9,1,1,4,09:24 AM,06:06 PM,08:14 AM,04:30 PM,2,0,4,0,32,84,88,0.0,1015,4,10,231,22
2020-01-27,6,4,0.0,3.1,1,1,11,09:43 AM,07:19 PM,08:13 AM,04:32 PM,4,0,5,0,39,96,92,0.7,1005,6,9,201,25
2020-01-28,6,5,0.0,3.1,1,1,18,09:59 AM,08:30 PM,08:11 AM,04:34 PM,4,1,5,1,32,96,92,3.2,989,6,7,188,21
2020-01-29,5,4,0.0,5.0,1,1,26,10:12 AM,09:41 PM,08:10 AM,04:36 PM,2,0,4,0,36,65,84,0.5,993,5,9,259,23
2020-01-30,7,4,0.0,3.1,1,1,33,10:25 AM,10:51 PM,08:08 AM,04:38 PM,4,1,6,1,41,90,89,9.9,997,7,8,277,25
2020-01-31,8,-1,0.0,3.1,1,1,37,10:37 AM,No moonset,08:06 AM,04:40 PM,5,2,6,2,50,95,88,4.8,995,8,9,279,30
2020-02-01,8,7,0.0,3.1,1,1,49,10:50 AM,12:02 AM,08:04 AM,04:43 PM,5,4,8,4,50,96,86,3.1,994,8,8,235,28
2020-02-02,6,4,0.0,8.4,1,1,57,11:06 AM,01:14 AM,08:02 AM,04:45 PM,1,0,5,0,50,44,76,0.0,997,6,10,283,32
2020-02-03,5,-1,0.0,3.2,1,1,64,11:25 AM,02:27 AM,08:00 AM,04:47 PM,2,1,4,1,26,89,86,0.2,1001,5,10,198,17
2020-02-04,5,-2,0.3,3.3,1,1,72,11:50 AM,03:42 AM,07:59 AM,04:49 PM,1,-1,4,-1,48,86,82,1.5,1002,5,9,311,33
2020-02-05,5,1,0.0,8.7,1,1,79,12:24 PM,04:56 AM,07:57 AM,04:51 PM,-0,-1,4,-1,41,41,74,0.1,1026,5,9,280,28
2020-02-06,7,5,0.0,6.9,1,1,87,01:13 PM,06:04 AM,07:55 AM,04:54 PM,4,2,6,2,46,50,86,0.0,1022,7,10,297,28
2020-02-07,5,1,0.0,8.7,1,1,95,02:17 PM,07:03 AM,07:53 AM,04:56 PM,4,2,5,2,18,47,90,0.1,1027,5,9,187,12
2020-02-08,5,1,0.0,8.7,1,1,100,03:37 PM,07:48 AM,07:51 AM,04:58 PM,2,0,5,0,38,30,83,0.0,1020,5,10,194,25
2020-02-09,7,0,0.0,3.6,1,1,100,05:06 PM,08:21 AM,07:49 AM,05:00 PM,5,1,6,1,72,90,87,8.5,1000,7,8,196,46
2020-02-10,7,4,0.0,3.6,1,1,83,06:37 PM,08:47 AM,07:47 AM,05:02 PM,2,1,6,1,60,73,76,3.2,977,7,9,260,39
2020-02-11,6,4,0.2,3.6,1,1,75,08:09 PM,09:07 AM,07:44 AM,05:05 PM,1,-1,5,-1,55,75,77,1.1,983,6,9,256,39
2020-02-12,6,3,0.0,3.6,1,1,68,09:40 PM,09:24 AM,07:42 AM,05:07 PM,1,-2,4,-2,59,93,79,3.4,993,6,8,260,41
2020-02-13,5,0,0.0,7.0,1,1,60,11:08 PM,09:41 AM,07:40 AM,05:09 PM,1,-0,4,-0,37,66,80,0.3,1005,5,10,222,25
2020-02-14,6,3,0.0,8.7,1,1,53,No moonrise,09:57 AM,07:38 AM,05:11 PM,2,1,4,1,19,39,82,0.1,1015,6,10,190,13
2020-02-15,6,0,0.0,3.7,1,1,45,12:34 AM,10:16 AM,07:36 AM,05:13 PM,4,0,5,0,49,95,88,2.4,1015,6,10,212,31
2020-02-16,10,4,0.0,3.7,1,1,38,01:59 AM,10:38 AM,07:33 AM,05:15 PM,6,4,8,4,81,90,85,9.9,996,10,9,204,45
2020-02-17,7,5,0.0,3.7,1,1,30,03:20 AM,11:07 AM,07:31 AM,05:18 PM,2,1,6,1,64,74,76,6.8,1001,7,10,239,40
2020-02-18,6,5,0.0,5.4,1,1,22,04:32 AM,11:45 AM,07:29 AM,05:20 PM,2,0,5,0,51,76,80,0.2,1007,6,10,250,34
2020-02-19,5,4,0.0,3.7,1,1,15,05:35 AM,12:34 PM,07:27 AM,05:22 PM,3,0,5,0,37,84,85,6.7,1006,5,9,284,25
2020-02-20,6,-2,0.0,3.8,1,1,7,06:23 AM,01:34 PM,07:24 AM,05:24 PM,3,-0,4,-0,52,78,87,2.7,1009,6,8,193,34
2020-02-21,7,4,0.0,7.1,1,1,0,07:01 AM,02:41 PM,07:22 AM,05:26 PM,2,1,6,1,55,78,78,2.2,1009,7,10,261,36
2020-02-22,7,5,0.0,3.8,1,1,0,07:28 AM,03:53 PM,07:19 AM,05:28 PM,3,1,6,1,73,84,79,2.8,1003,7,10,254,47
2020-02-23,6,-4,0.0,5.4,1,1,0,07:49 AM,05:05 PM,07:17 AM,05:31 PM,1,-1,4,-1,54,70,74,1.3,1001,6,10,262,36
2020-02-24,5,4,0.0,7.1,1,1,0,08:05 AM,06:17 PM,07:15 AM,05:33 PM,1,-0,5,-0,39,66,78,1.1,1008,5,10,261,26
2020-02-25,5,3,0.3,3.8,1,1,8,08:19 AM,07:28 PM,07:12 AM,05:35 PM,1,-2,4,-2,59,100,82,4.6,986,5,8,232,43
2020-02-26,2,0,1.0,3.9,1,1,15,08:32 AM,08:38 PM,07:10 AM,05:37 PM,-1,-4,1,-4,35,100,86,2.7,989,2,5,231,27
2020-02-27,5,1,0.3,3.9,1,1,23,08:44 AM,09:49 PM,07:07 AM,05:39 PM,-1,-1,2,-1,16,81,75,1.2,998,5,9,212,11
2020-02-28,6,2,0.3,3.9,1,1,30,08:56 AM,11:00 PM,07:05 AM,05:41 PM,1,-1,4,-1,34,71,79,0.8,1005,6,10,273,22
2020-02-29,6,-1,0.0,3.9,1,1,38,09:11 AM,No moonset,07:02 AM,05:43 PM,3,-0,4,-0,49,87,89,4.6,994,6,9,167,32
2020-03-01,6,5,0.0,3.9,1,1,44,09:28 AM,12:12 AM,07:00 AM,05:45 PM,2,-0,5,-0,49,70,78,0.7,989,6,10,214,32
2020-03-02,6,4,0.0,8.7,1,1,51,09:49 AM,01:25 AM,06:57 AM,05:47 PM,3,2,5,2,22,47,86,0.0,993,6,10,160,14
2020-03-03,6,4,0.0,4.1,1,1,58,10:18 AM,02:38 AM,06:55 AM,05:50 PM,3,2,5,2,17,92,89,0.9,998,6,10,111,12
2020-03-04,6,4,0.0,7.2,1,1,65,10:58 AM,03:48 AM,06:52 AM,05:52 PM,2,1,5,1,31,60,82,1.0,1004,6,10,256,21
2020-03-05,5,3,0.0,7.2,1,1,73,11:54 AM,04:49 AM,06:50 AM,05:54 PM,2,0,4,0,24,51,87,0.1,1003,5,10,185,16
2020-03-06,6,0,0.0,4.2,1,1,80,01:05 PM,05:39 AM,06:47 AM,05:56 PM,2,-0,4,-0,43,76,83,1.7,999,6,10,80,29
2020-03-07,6,3,0.0,4.2,1,1,87,02:28 PM,06:17 AM,06:44 AM,05:58 PM,2,1,4,1,23,74,85,2.3,1010,6,10,338,16
2020-03-08,7,4,0.0,5.8,1,1,95,04:00 PM,06:46 AM,06:42 AM,06:00 PM,3,1,6,1,44,78,85,0.0,1010,7,10,195,28
2020-03-09,8,6,0.0,7.3,1,1,100,05:34 PM,07:08 AM,06:39 AM,06:02 PM,5,3,6,3,28,64,90,5.1,1007,8,9,214,16
2020-03-10,7,1,0.0,5.8,1,1,100,07:07 PM,07:27 AM,06:37 AM,06:04 PM,4,1,5,1,48,84,90,3.0,999,7,9,192,30
2020-03-11,8,6,0.0,11.6,1,1,84,08:39 PM,07:44 AM,06:34 AM,06:06 PM,2,2,7,2,51,42,75,1.6,1000,8,10,272,31
2020-03-12,7,5,0.0,7.3,1,1,76,10:11 PM,08:00 AM,06:32 AM,06:08 PM,2,0,6,0,65,79,76,0.8,994,7,9,265,44
2020-03-13,6,3,0.0,5.9,1,1,69,11:41 PM,08:18 AM,06:29 AM,06:10 PM,1,-1,4,-1,44,72,77,2.7,1002,6,9,273,30
2020-03-14,4,-0,0.0,11.6,1,1,62,No moonrise,08:40 AM,06:26 AM,06:12 PM,-5,-0,3,-0,26,6,55,0.0,1022,4,10,161,19
2020-03-15,8,4,0.0,6.0,1,1,55,01:06 AM,09:07 AM,06:24 AM,06:14 PM,2,1,6,1,62,68,73,0.0,1014,8,10,197,39
2020-03-16,9,1,0.0,8.8,1,1,47,02:24 AM,09:43 AM,06:21 AM,06:16 PM,5,4,7,4,35,62,82,1.3,1015,9,10,278,20
2020-03-17,8,5,0.0,7.4,1,1,40,03:32 AM,10:28 AM,06:19 AM,06:18 PM,4,3,6,3,35,53,83,0.0,1023,8,10,234,21
